team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Texas A&M Aggies - Ali Dibba,Texas A&M Aggies,Ali Dibba,10,5.23,15.0,0.0,15.0
Villanova Wildcats - Tyler Perkins,Villanova Wildcats,Tyler Perkins,8,13.68,15.0,0.0,15.0
Kennesaw State Owls - RJ Johnson,Kennesaw State Owls,RJ Johnson,14,13.72,15.0,0.0,15.0
Wright State Raiders - TJ Burch,Wright State Raiders,TJ Burch,14,12.49,15.0,0.0,15.0
Tennessee Volunteers - DeWayne Brown II,Tennessee Volunteers,DeWayne Brown II,6,4.75,9.0,1.189,14.6
Kennesaw State Owls - Kaden Rickard,Kennesaw State Owls,Kaden Rickard,14,5.85,14.0,0.0,14.0
Pennsylvania Quakers - Cam Thrower,Pennsylvania Quakers,Cam Thrower,14,5.77,14.0,0.0,14.0
Santa Clara Broncos - Jake Ensminger,Santa Clara Broncos,Jake Ensminger,10,5.97,14.0,0.0,14.0
Troy Trojans - Victor Valdes,Troy Trojans,Victor Valdes,13,14.94,14.0,0.0,14.0
Florida Gators - Rueben Chinyelu,Florida Gators,Rueben Chinyelu,1,10.81,14.0,0.0,14.0
Louisville Cardinals - Vangelis Zougris,Louisville Cardinals,Vangelis Zougris,6,2.49,14.0,0.0,14.0
BYU Cougars - Robert Wright III,BYU Cougars,Robert Wright III,6,18.69,14.0,0.0,14.0
Idaho Vandals - Kolton Mitchell,Idaho Vandals,Kolton Mitchell,15,13.91,14.0,0.0,14.0
Northern Iowa Panthers - Trey Campbell,Northern Iowa Panthers,Trey Campbell,12,13.69,14.0,0.0,14.0
Saint Louis Billikens - Paul Otieno,Saint Louis Billikens,Paul Otieno,9,4.24,14.0,0.0,14.0
Hofstra Pride - Cruz Davis,Hofstra Pride,Cruz Davis,13,19.96,14.0,0.0,14.0
Ohio State Buckeyes - Devin Royal,Ohio State Buckeyes,Devin Royal,8,13.43,14.0,0.0,14.0
Iowa State Cyclones - Jamarion Batemon,Iowa State Cyclones,Jamarion Batemon,2,6.97,13.0,0.0,13.0
McNeese Cowboys - Tyshawn Archie,McNeese Cowboys,Tyshawn Archie,12,14.23,13.0,0.0,13.0
Wright State Raiders - Michael Cooper,Wright State Raiders,Michael Cooper,14,14.95,13.0,0.0,13.0
Tennessee State Tigers - Travis Harper II,Tennessee State Tigers,Travis Harper II,15,16.11,13.0,0.0,13.0
Kennesaw State Owls - Frankquon Sherman,Kennesaw State Owls,Frankquon Sherman,14,10.84,13.0,0.0,13.0
VCU Rams - Barry Evans,VCU Rams,Barry Evans,11,6.78,13.0,0.0,13.0
Georgia Bulldogs - Marcus Millender,Georgia Bulldogs,Marcus Millender,8,11.29,13.0,0.0,13.0
High Point Panthers - Owen Aquino,High Point Panthers,Owen Aquino,12,9.84,13.0,0.0,13.0
UCF Knights - Riley Kugel,UCF Knights,Riley Kugel,10,14.2,13.0,0.0,13.0
Tennessee Volunteers - Ethan Burg,Tennessee Volunteers,Ethan Burg,6,3.06,9.0,1.189,12.6
UConn Huskies - Malachi Smith,UConn Huskies,Malachi Smith,2,2.83,9.0,1.187,12.4
Northern Iowa Panthers - Leon Bond III,Northern Iowa Panthers,Leon Bond III,12,11.92,12.0,0.0,12.0
Hawai'i Rainbow Warriors - Isaac Finlinson,Hawai'i Rainbow Warriors,Isaac Finlinson,13,9.14,12.0,0.0,12.0
VCU Rams - Brandon Jennings,VCU Rams,Brandon Jennings,11,8.33,12.0,0.0,12.0
Prairie View A&M Panthers - Dontae Horne,Prairie View A&M Panthers,Dontae Horne,16,21.82,12.0,0.0,12.0
South Florida Bulls - Gavin Hightower,South Florida Bulls,Gavin Hightower,11,4.1,12.0,0.0,12.0
Hofstra Pride - German Plotnikov,Hofstra Pride,German Plotnikov,13,9.73,12.0,0.0,12.0
Siena Saints - Brendan Coyle,Siena Saints,Brendan Coyle,16,9.2,12.0,0.0,12.0
Virginia Cavaliers - Chance Mallory,Virginia Cavaliers,Chance Mallory,3,8.5,12.0,0.0,12.0
Wisconsin Badgers - Austin Rapp,Wisconsin Badgers,Austin Rapp,5,10.36,12.0,0.0,12.0
Texas A&M Aggies - Josh Holloway,Texas A&M Aggies,Josh Holloway,10,5.91,12.0,0.0,12.0
Louisville Cardinals - Sananda Fru,Louisville Cardinals,Sananda Fru,6,8.0,12.0,0.0,12.0
Ohio State Buckeyes - Amare Bynum,Ohio State Buckeyes,Amare Bynum,8,9.96,12.0,0.0,12.0
Texas Tech Red Raiders - Leon Horner,Texas Tech Red Raiders,Leon Horner,5,2.0,12.0,0.0,12.0
Kansas Jayhawks - Paul Mbiya,Kansas Jayhawks,Paul Mbiya,4,0.79,12.0,0.0,12.0
Long Island University Sharks - Greg Gordon,Long Island University Sharks,Greg Gordon,16,14.52,12.0,0.0,12.0
Louisville Cardinals - J'Vonne Hadley,Louisville Cardinals,J'Vonne Hadley,6,12.84,12.0,0.0,12.0
Arizona Wildcats - Dwayne Aristode,Arizona Wildcats,Dwayne Aristode,1,3.14,7.0,1.512,11.7
UConn Huskies - Eric Reibe,UConn Huskies,Eric Reibe,2,6.33,4.0,1.187,11.5
Iowa Hawkeyes - Cam Manyawu,Iowa Hawkeyes,Cam Manyawu,9,7.21,11.0,0.0,11.0
North Dakota State Bison - Trevian Carson,North Dakota State Bison,Trevian Carson,14,12.07,11.0,0.0,11.0
Hofstra Pride - Biggie Patterson,Hofstra Pride,Biggie Patterson,13,8.8,11.0,0.0,11.0
Villanova Wildcats - Malachi Palmer,Villanova Wildcats,Malachi Palmer,8,4.41,11.0,0.0,11.0
Clemson Tigers - Butta Johnson,Clemson Tigers,Butta Johnson,8,7.37,11.0,0.0,11.0
Long Island University Sharks - Jamal Fuller,Long Island University Sharks,Jamal Fuller,16,16.73,11.0,0.0,11.0
Texas A&M Aggies - Pop Isaacs,Texas A&M Aggies,Pop Isaacs,10,10.21,11.0,0.0,11.0
Tennessee State Tigers - Dante Harris,Tennessee State Tigers,Dante Harris,15,12.01,11.0,0.0,11.0
Iowa State Cyclones - Dominykas Pleta,Iowa State Cyclones,Dominykas Pleta,2,4.73,11.0,0.0,11.0
North Carolina Tar Heels - Derek Dixon,North Carolina Tar Heels,Derek Dixon,6,7.39,11.0,0.0,11.0
Missouri Tigers - Anthony Robinson II,Missouri Tigers,Anthony Robinson II,10,9.19,11.0,0.0,11.0
Alabama Crimson Tide - Noah Williamson,Alabama Crimson Tide,Noah Williamson,4,1.2,11.0,0.0,11.0
Texas Longhorns - Camden Heide,Texas Longhorns,Camden Heide,11,6.31,11.0,0.0,11.0
VCU Rams - Tyrell Ward,VCU Rams,Tyrell Ward,11,5.28,11.0,0.0,11.0
Kentucky Wildcats - Collin Chandler,Kentucky Wildcats,Collin Chandler,7,9.69,11.0,0.0,11.0
Kentucky Wildcats - Brandon Garrison,Kentucky Wildcats,Brandon Garrison,7,5.12,11.0,0.0,11.0
Louisville Cardinals - Aly Khalifa,Louisville Cardinals,Aly Khalifa,6,3.1,11.0,0.0,11.0
Hawai'i Rainbow Warriors - Isaiah Kerr,Hawai'i Rainbow Warriors,Isaiah Kerr,13,6.48,11.0,0.0,11.0
North Carolina Tar Heels - Jarin Stevenson,North Carolina Tar Heels,Jarin Stevenson,6,8.8,11.0,0.0,11.0
Virginia Cavaliers - Johann Grunloh,Virginia Cavaliers,Johann Grunloh,3,6.28,10.0,0.0,10.0
Ohio State Buckeyes - Bruce Thornton,Ohio State Buckeyes,Bruce Thornton,8,19.44,10.0,0.0,10.0
Florida Gators - Isaiah Brown,Florida Gators,Isaiah Brown,1,5.0,10.0,0.0,10.0
UCF Knights - Themus Fulks,UCF Knights,Themus Fulks,10,14.45,10.0,0.0,10.0
Utah State Aggies - Kolby King,Utah State Aggies,Kolby King,9,7.39,10.0,0.0,10.0
Texas A&M Aggies - Rylan Griffen,Texas A&M Aggies,Rylan Griffen,10,11.74,10.0,0.0,10.0
Furman Paladins - Charles Johnston,Furman Paladins,Charles Johnston,15,8.97,10.0,0.0,10.0
UCF Knights - Jamichael Stillwell,UCF Knights,Jamichael Stillwell,10,11.18,10.0,0.0,10.0
Saint Louis Billikens - Trey Green,Saint Louis Billikens,Trey Green,9,11.05,10.0,0.0,10.0
Michigan State Spartans - Kur Teng,Michigan State Spartans,Kur Teng,3,8.63,10.0,0.0,10.0
McNeese Cowboys - Javohn Garcia,McNeese Cowboys,Javohn Garcia,12,11.35,10.0,0.0,10.0
Northern Iowa Panthers - Will Hornseth,Northern Iowa Panthers,Will Hornseth,12,12.39,10.0,0.0,10.0
Vanderbilt Commodores - Jalen Washington,Vanderbilt Commodores,Jalen Washington,5,10.23,10.0,0.0,10.0
Florida Gators - Micah Handlogten,Florida Gators,Micah Handlogten,1,4.44,10.0,0.0,10.0
Queens University Royals - Nasir Mann,Queens University Royals,Nasir Mann,15,14.99,10.0,0.0,10.0
Iowa State Cyclones - Dominick Nelson,Iowa State Cyclones,Dominick Nelson,2,3.15,10.0,0.0,10.0
North Dakota State Bison - Treyson Anderson,North Dakota State Bison,Treyson Anderson,14,9.82,10.0,0.0,10.0
Queens University Royals - Jordan Watford,Queens University Royals,Jordan Watford,15,11.28,10.0,0.0,10.0
Santa Clara Broncos - Christian Hammond,Santa Clara Broncos,Christian Hammond,10,15.44,9.0,0.0,9.0
Queens University Royals - Maban Jabriel,Queens University Royals,Maban Jabriel,15,8.01,9.0,0.0,9.0
High Point Panthers - Braden Hausen,High Point Panthers,Braden Hausen,12,5.99,9.0,0.0,9.0
McNeese Cowboys - DJ Richards Jr.,McNeese Cowboys,DJ Richards Jr.,12,7.73,9.0,0.0,9.0
BYU Cougars - Kennard Davis Jr.,BYU Cougars,Kennard Davis Jr.,6,9.13,9.0,0.0,9.0
Troy Trojans - Cobi Campbell,Troy Trojans,Cobi Campbell,13,8.46,9.0,0.0,9.0
St. John's Red Storm - Joson Sanon,St. John's Red Storm,Joson Sanon,5,8.78,9.0,0.0,9.0
Texas A&M Aggies - Jamie Vinson,Texas A&M Aggies,Jamie Vinson,10,4.36,9.0,0.0,9.0
Northern Iowa Panthers - Tristan Smith,Northern Iowa Panthers,Tristan Smith,12,8.72,9.0,0.0,9.0
Hawai'i Rainbow Warriors - Harry Rouhliadeff,Hawai'i Rainbow Warriors,Harry Rouhliadeff,13,11.08,9.0,0.0,9.0
Clemson Tigers - Jestin Porter,Clemson Tigers,Jestin Porter,8,9.63,9.0,0.0,9.0
Troy Trojans - Theo Seng,Troy Trojans,Theo Seng,13,13.04,9.0,0.0,9.0
Utah State Aggies - Karson Templin,Utah State Aggies,Karson Templin,9,8.74,9.0,0.0,9.0
Furman Paladins - Cooper Bowser,Furman Paladins,Cooper Bowser,15,14.17,9.0,0.0,9.0
Prairie View A&M Panthers - Cory Wells,Prairie View A&M Panthers,Cory Wells,16,13.3,9.0,0.0,9.0
Texas A&M Aggies - Zach Clemence,Texas A&M Aggies,Zach Clemence,10,6.77,9.0,0.0,9.0
Miami (OH) RedHawks - Brant Byers,Miami (OH) RedHawks,Brant Byers,11,13.7,9.0,0.0,9.0
UConn Huskies - Jaylin Stewart,UConn Huskies,Jaylin Stewart,2,3.61,4.0,1.187,8.3
Duke Blue Devils - Darren Harris,Duke Blue Devils,Darren Harris,1,3.53,0.0,2.301,8.1
Akron Zips - Eric Mahaffey,Akron Zips,Eric Mahaffey,12,7.74,8.0,0.0,8.0
Iowa Hawkeyes - Isaia Howard,Iowa Hawkeyes,Isaia Howard,9,5.39,8.0,0.0,8.0
North Carolina Tar Heels - Luka Bogavac,North Carolina Tar Heels,Luka Bogavac,6,9.73,8.0,0.0,8.0
Florida Gators - CJ Ingram,Florida Gators,CJ Ingram,1,2.01,8.0,0.0,8.0
Idaho Vandals - Biko Johnson,Idaho Vandals,Biko Johnson,15,11.83,8.0,0.0,8.0
Clemson Tigers - Dillon Hunter,Clemson Tigers,Dillon Hunter,8,7.39,8.0,0.0,8.0
Queens University Royals - Chris Ashby,Queens University Royals,Chris Ashby,15,11.96,8.0,0.0,8.0
Queens University Royals - Carson Schwieger,Queens University Royals,Carson Schwieger,15,9.97,8.0,0.0,8.0
VCU Rams - Michael Belle,VCU Rams,Michael Belle,11,7.67,8.0,0.0,8.0
Idaho Vandals - Trevon Blassingame,Idaho Vandals,Trevon Blassingame,15,4.14,8.0,0.0,8.0
Kansas Jayhawks - Elmarko Jackson,Kansas Jayhawks,Elmarko Jackson,4,6.08,8.0,0.0,8.0
BYU Cougars - Aleksej Kostic,BYU Cougars,Aleksej Kostic,6,7.52,8.0,0.0,8.0
Wisconsin Badgers - Nolan Winter,Wisconsin Badgers,Nolan Winter,5,12.26,8.0,0.0,8.0
TCU Horned Frogs - Jayden Pierre,TCU Horned Frogs,Jayden Pierre,9,10.59,8.0,0.0,8.0
Prairie View A&M Panthers - Lance Williams,Prairie View A&M Panthers,Lance Williams,16,10.81,8.0,0.0,8.0
Akron Zips - Evan Mahaffey,Akron Zips,Evan Mahaffey,12,9.85,8.0,0.0,8.0
Saint Mary's Gaels - Dillan Shaw,Saint Mary's Gaels,Dillan Shaw,7,6.76,8.0,0.0,8.0
Clemson Tigers - Nick Davidson,Clemson Tigers,Nick Davidson,8,8.88,8.0,0.0,8.0
Kentucky Wildcats - Kam Williams,Kentucky Wildcats,Kam Williams,7,5.57,8.0,0.0,8.0
Ohio State Buckeyes - Christoph Tilly,Ohio State Buckeyes,Christoph Tilly,8,10.56,8.0,0.0,8.0
Siena Saints - Justice Shoats,Siena Saints,Justice Shoats,16,12.36,8.0,0.0,8.0
Michigan Wolverines - Winters Grady,Michigan Wolverines,Winters Grady,1,2.93,0.0,2.443,7.2
Howard Bison - Travelle Bryson,Howard Bison,Travelle Bryson,16,8.28,7.0,0.0,7.0
Long Island University Sharks - Caleb Johnson,Long Island University Sharks,Caleb Johnson,16,2.03,7.0,0.0,7.0
North Dakota State Bison - Noah Feddersen,North Dakota State Bison,Noah Feddersen,14,8.68,7.0,0.0,7.0
Villanova Wildcats - Acaden Lewis,Villanova Wildcats,Acaden Lewis,8,11.71,7.0,0.0,7.0
VCU Rams - Jadrian Tracey,VCU Rams,Jadrian Tracey,11,10.15,7.0,0.0,7.0
Howard Bison - Ose Okojie,Howard Bison,Ose Okojie,16,10.8,7.0,0.0,7.0
Nebraska Cornhuskers - Cale Jacobsen,Nebraska Cornhuskers,Cale Jacobsen,4,5.28,7.0,0.0,7.0
Pennsylvania Quakers - Lucas Lueth,Pennsylvania Quakers,Lucas Lueth,14,3.13,7.0,0.0,7.0
Kentucky Wildcats - Malachi Moreno,Kentucky Wildcats,Malachi Moreno,7,7.98,7.0,0.0,7.0
Georgia Bulldogs - Jordan Ross,Georgia Bulldogs,Jordan Ross,8,6.97,7.0,0.0,7.0
Missouri Tigers - Trent Pierce,Missouri Tigers,Trent Pierce,10,10.82,7.0,0.0,7.0
Michigan Wolverines - Oscar Goodman,Michigan Wolverines,Oscar Goodman,1,1.39,3.0,2.443,6.4
Illinois Fighting Illini - Brandon Lee,Illinois Fighting Illini,Brandon Lee,3,1.65,4.0,1.368,6.3
California Baptist Lancers - Jonathan Griman,California Baptist Lancers,Jonathan Griman,13,6.6,6.0,0.0,6.0
UCF Knights - Devan Cambridge,UCF Knights,Devan Cambridge,10,4.72,6.0,0.0,6.0
Santa Clara Broncos - Bukky Oboye,Santa Clara Broncos,Bukky Oboye,10,7.23,6.0,0.0,6.0
Miami Hurricanes - Ernest Udeh Jr.,Miami Hurricanes,Ernest Udeh Jr.,7,6.52,6.0,0.0,6.0
Arkansas Razorbacks - Nick Pringle,Arkansas Razorbacks,Nick Pringle,4,4.33,6.0,0.0,6.0
North Dakota State Bison - Markhi Strickland,North Dakota State Bison,Markhi Strickland,14,10.57,6.0,0.0,6.0
Missouri Tigers - Shawn Phillips Jr.,Missouri Tigers,Shawn Phillips Jr.,10,8.16,6.0,0.0,6.0
Queens University Royals - Avantae Parker,Queens University Royals,Avantae Parker,15,10.71,6.0,0.0,6.0
Wisconsin Badgers - Andrew Rohde,Wisconsin Badgers,Andrew Rohde,5,5.05,6.0,0.0,6.0
Furman Paladins - Cole Bowser,Furman Paladins,Cole Bowser,15,4.79,6.0,0.0,6.0
Vanderbilt Commodores - Chandler Bing,Vanderbilt Commodores,Chandler Bing,5,3.41,6.0,0.0,6.0
Kansas Jayhawks - Bryson Tiller,Kansas Jayhawks,Bryson Tiller,4,7.44,6.0,0.0,6.0
North Dakota State Bison - Tay Smith,North Dakota State Bison,Tay Smith,14,6.6,6.0,0.0,6.0
Northern Iowa Panthers - Max Weisbrod,Northern Iowa Panthers,Max Weisbrod,12,6.48,6.0,0.0,6.0
Pennsylvania Quakers - TJ Power,Pennsylvania Quakers,TJ Power,14,18.51,6.0,0.0,6.0
Louisville Cardinals - Kobe Rodgers,Louisville Cardinals,Kobe Rodgers,6,2.64,6.0,0.0,6.0
Georgia Bulldogs - Blue Cain,Georgia Bulldogs,Blue Cain,8,13.6,6.0,0.0,6.0
Utah State Aggies - Zach Keller,Utah State Aggies,Zach Keller,9,3.54,6.0,0.0,6.0
Queens University Royals - Gus Larson,Queens University Royals,Gus Larson,15,3.38,6.0,0.0,6.0
Troy Trojans - Cooper Campbell,Troy Trojans,Cooper Campbell,13,14.32,6.0,0.0,6.0
North Dakota State Bison - Andy Stefonowicz,North Dakota State Bison,Andy Stefonowicz,14,9.4,6.0,0.0,6.0
South Florida Bulls - Josh Omojafo,South Florida Bulls,Josh Omojafo,11,10.05,6.0,0.0,6.0
Siena Saints - Riley Mulvey,Siena Saints,Riley Mulvey,16,4.37,6.0,0.0,6.0
Arizona Wildcats - Sidi Gueye,Arizona Wildcats,Sidi Gueye,1,1.09,4.0,1.512,5.6
Michigan Wolverines - Malick Kordel,Michigan Wolverines,Malick Kordel,1,1.41,2.0,2.443,5.4
Kansas Jayhawks - Kohl Rosario,Kansas Jayhawks,Kohl Rosario,4,3.1,5.0,0.0,5.0
Georgia Bulldogs - Jake Wilkins,Georgia Bulldogs,Jake Wilkins,8,5.91,5.0,0.0,5.0
Tennessee Volunteers - Amaree Abram,Tennessee Volunteers,Amaree Abram,6,4.22,0.0,1.189,5.0
Hawai'i Rainbow Warriors - Gytis Nemeiksa,Hawai'i Rainbow Warriors,Gytis Nemeiksa,13,8.4,5.0,0.0,5.0
Wright State Raiders - Dominic Pangonis,Wright State Raiders,Dominic Pangonis,14,8.44,5.0,0.0,5.0
McNeese Cowboys - Jacolb Fredson-Cole,McNeese Cowboys,Jacolb Fredson-Cole,12,5.22,5.0,0.0,5.0
Wisconsin Badgers - Braeden Carrington,Wisconsin Badgers,Braeden Carrington,5,8.31,5.0,0.0,5.0
Pennsylvania Quakers - Niklas Polonowski,Pennsylvania Quakers,Niklas Polonowski,14,1.21,5.0,0.0,5.0
Saint Mary's Gaels - Mikey Lewis,Saint Mary's Gaels,Mikey Lewis,7,16.26,5.0,0.0,5.0
Kennesaw State Owls - Braedan Lue,Kennesaw State Owls,Braedan Lue,14,10.76,5.0,0.0,5.0
Louisville Cardinals - Khani Rooths,Louisville Cardinals,Khani Rooths,6,4.82,5.0,0.0,5.0
Queens University Royals - Yoav Berman,Queens University Royals,Yoav Berman,15,11.03,5.0,0.0,5.0
Clemson Tigers - Ace Buckner,Clemson Tigers,Ace Buckner,8,8.87,5.0,0.0,5.0
Idaho Vandals - Jackson Rasmussen,Idaho Vandals,Jackson Rasmussen,15,12.71,5.0,0.0,5.0
TCU Horned Frogs - Tanner Toolson,TCU Horned Frogs,Tanner Toolson,9,8.17,5.0,0.0,5.0
St. John's Red Storm - Lefteris Liotopoulos,St. John's Red Storm,Lefteris Liotopoulos,5,2.66,5.0,0.0,5.0
Georgia Bulldogs - Dylan James,Georgia Bulldogs,Dylan James,8,4.74,5.0,0.0,5.0
Florida Gators - Alex Kovatchev,Florida Gators,Alex Kovatchev,1,0.25,5.0,0.0,5.0
UCF Knights - George Beale Jr.,UCF Knights,George Beale Jr.,10,3.69,5.0,0.0,5.0
North Dakota State Bison - Emil Skytta,North Dakota State Bison,Emil Skytta,14,3.26,5.0,0.0,5.0
Queens University Royals - Isaiah Henry,Queens University Royals,Isaiah Henry,15,3.67,5.0,0.0,5.0
Pennsylvania Quakers - AJ Levine,Pennsylvania Quakers,AJ Levine,14,9.42,5.0,0.0,5.0
Georgia Bulldogs - Kareem Stagg,Georgia Bulldogs,Kareem Stagg,8,5.73,5.0,0.0,5.0
Hawai'i Rainbow Warriors - Hunter Erickson,Hawai'i Rainbow Warriors,Hunter Erickson,13,8.09,5.0,0.0,5.0
TCU Horned Frogs - Liutauras Lelevicius,TCU Horned Frogs,Liutauras Lelevicius,9,8.97,5.0,0.0,5.0
BYU Cougars - Keba Keita,BYU Cougars,Keba Keita,6,6.08,5.0,0.0,5.0
Tennessee Volunteers - Cade Phillips,Tennessee Volunteers,Cade Phillips,6,3.81,0.0,1.189,4.5
Illinois Fighting Illini - AJ Redd,Illinois Fighting Illini,AJ Redd,3,1.54,2.0,1.368,4.1
North Carolina Tar Heels - Zayden High,North Carolina Tar Heels,Zayden High,6,4.41,4.0,0.0,4.0
Idaho Vandals - Isaiah Brickner,Idaho Vandals,Isaiah Brickner,15,11.81,4.0,0.0,4.0
TCU Horned Frogs - Jace Posey,TCU Horned Frogs,Jace Posey,9,3.23,4.0,0.0,4.0
Michigan State Spartans - Denham Wojcik,Michigan State Spartans,Denham Wojcik,3,0.23,4.0,0.0,4.0
Furman Paladins - Ben Vander Wal,Furman Paladins,Ben Vander Wal,15,6.26,4.0,0.0,4.0
Purdue Boilermakers - Daniel Jacobsen,Purdue Boilermakers,Daniel Jacobsen,2,4.69,4.0,0.0,4.0
Queens University Royals - Kam Clark,Queens University Royals,Kam Clark,15,1.67,4.0,0.0,4.0
Miami (OH) RedHawks - Luke Skaljac,Miami (OH) RedHawks,Luke Skaljac,11,9.4,4.0,0.0,4.0
Texas A&M Aggies - Marcus Hill,Texas A&M Aggies,Marcus Hill,10,11.4,4.0,0.0,4.0
Troy Trojans - Thomas Dowd,Troy Trojans,Thomas Dowd,13,15.25,4.0,0.0,4.0
Miami (OH) RedHawks - Eian Elmer,Miami (OH) RedHawks,Eian Elmer,11,11.93,4.0,0.0,4.0
UCLA Bruins - Steven Jamerson II,UCLA Bruins,Steven Jamerson II,7,1.55,4.0,0.0,4.0
California Baptist Lancers - Miles Daniels,California Baptist Lancers,Miles Daniels,13,2.55,4.0,0.0,4.0
Saint Mary's Gaels - Paulius Murauskas,Saint Mary's Gaels,Paulius Murauskas,7,19.45,4.0,0.0,4.0
Georgia Bulldogs - Justin Bailey,Georgia Bulldogs,Justin Bailey,8,5.08,4.0,0.0,4.0
Virginia Cavaliers - Ugonna Onyenso,Virginia Cavaliers,Ugonna Onyenso,3,7.04,4.0,0.0,4.0
South Florida Bulls - Isaiah Jones,South Florida Bulls,Isaiah Jones,11,4.69,4.0,0.0,4.0
Gonzaga Bulldogs - Adam Miller,Gonzaga Bulldogs,Adam Miller,3,7.49,4.0,0.0,4.0
Prairie View A&M Panthers - Corey Dunning,Prairie View A&M Panthers,Corey Dunning,16,1.59,4.0,0.0,4.0
Utah State Aggies - Elijah Perryman,Utah State Aggies,Elijah Perryman,9,3.7,4.0,0.0,4.0
Akron Zips - Sharron Young,Akron Zips,Sharron Young,12,7.03,4.0,0.0,4.0
Prairie View A&M Panthers - Hassane Diallo,Prairie View A&M Panthers,Hassane Diallo,16,2.42,4.0,0.0,4.0
Akron Zips - Tavari Johnson,Akron Zips,Tavari Johnson,12,20.57,4.0,0.0,4.0
Miami (OH) RedHawks - Trey Perry,Miami (OH) RedHawks,Trey Perry,11,5.28,4.0,0.0,4.0
Long Island University Sharks - Jomo Goings,Long Island University Sharks,Jomo Goings,16,9.87,4.0,0.0,4.0
California Baptist Lancers - Bradey Henige,California Baptist Lancers,Bradey Henige,13,4.86,4.0,0.0,4.0
South Florida Bulls - Wes Enis,South Florida Bulls,Wes Enis,11,17.9,4.0,0.0,4.0
Pennsylvania Quakers - Dalton Scantlebury,Pennsylvania Quakers,Dalton Scantlebury,14,4.66,4.0,0.0,4.0
Houston Cougars - Kalifa Sakho,Houston Cougars,Kalifa Sakho,2,2.89,4.0,0.0,4.0
Hofstra Pride - Victory Onuetu,Hofstra Pride,Victory Onuetu,13,4.78,4.0,0.0,4.0
South Florida Bulls - CJ Brown,South Florida Bulls,CJ Brown,11,9.96,4.0,0.0,4.0
Texas Tech Red Raiders - Luke Bamgboye,Texas Tech Red Raiders,Luke Bamgboye,5,4.68,4.0,0.0,4.0
Long Island University Sharks - Shadrak Lasu,Long Island University Sharks,Shadrak Lasu,16,5.51,4.0,0.0,4.0
Long Island University Sharks - Eddie Munyak,Long Island University Sharks,Eddie Munyak,16,0.0,3.0,0.0,3.0
Pennsylvania Quakers - Johnnie Walter,Pennsylvania Quakers,Johnnie Walter,14,0.55,3.0,0.0,3.0
UCF Knights - Carmelo Pacheco,UCF Knights,Carmelo Pacheco,10,4.0,3.0,0.0,3.0
Michigan State Spartans - Jesse McCulloch,Michigan State Spartans,Jesse McCulloch,3,2.55,3.0,0.0,3.0
Ohio State Buckeyes - Gabe Cupps,Ohio State Buckeyes,Gabe Cupps,8,1.91,3.0,0.0,3.0
Hofstra Pride - Joshua Aaron Reaves,Hofstra Pride,Joshua Aaron Reaves,13,1.81,3.0,0.0,3.0
Clemson Tigers - Dallas Thomas,Clemson Tigers,Dallas Thomas,8,2.16,3.0,0.0,3.0
Miami (OH) RedHawks - Almar Atlason,Miami (OH) RedHawks,Almar Atlason,11,9.96,3.0,0.0,3.0
