team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Miami (OH) RedHawks - Antwone Woolfolk,Miami (OH) RedHawks,Antwone Woolfolk,11,10.29,3.0,0.0,3.0
Kentucky Wildcats - Jasper Johnson,Kentucky Wildcats,Jasper Johnson,7,5.95,3.0,0.0,3.0
UCLA Bruins - Jamar Brown,UCLA Bruins,Jamar Brown,7,2.51,3.0,0.0,3.0
Idaho Vandals - Jack Payne,Idaho Vandals,Jack Payne,15,7.12,3.0,0.0,3.0
Idaho Vandals - Brody Rowbury,Idaho Vandals,Brody Rowbury,15,8.34,3.0,0.0,3.0
Purdue Boilermakers - Jack Benter,Purdue Boilermakers,Jack Benter,2,5.06,3.0,0.0,3.0
Virginia Cavaliers - Devin Tillis,Virginia Cavaliers,Devin Tillis,3,3.44,3.0,0.0,3.0
Howard Bison - Alex Cotton,Howard Bison,Alex Cotton,16,8.55,3.0,0.0,3.0
UCLA Bruins - Brandon Williams,UCLA Bruins,Brandon Williams,7,2.98,3.0,0.0,3.0
Tennessee State Tigers - Jalen Pitre,Tennessee State Tigers,Jalen Pitre,15,5.73,3.0,0.0,3.0
Purdue Boilermakers - Liam Murphy,Purdue Boilermakers,Liam Murphy,2,2.56,3.0,0.0,3.0
Tennessee State Tigers - Damon Howard Jr.,Tennessee State Tigers,Damon Howard Jr.,15,1.49,3.0,0.0,3.0
Texas A&M Aggies - Jacari Lane,Texas A&M Aggies,Jacari Lane,10,5.78,3.0,0.0,3.0
North Carolina Tar Heels - Jonathan Powell,North Carolina Tar Heels,Jonathan Powell,6,4.77,3.0,0.0,3.0
Miami Hurricanes - Noam Dovrat,Miami Hurricanes,Noam Dovrat,7,4.33,3.0,0.0,3.0
Villanova Wildcats - Devin Askew,Villanova Wildcats,Devin Askew,8,10.9,3.0,0.0,3.0
Troy Trojans - Kerrington Kiel,Troy Trojans,Kerrington Kiel,13,3.66,3.0,0.0,3.0
Illinois Fighting Illini - Mihailo Petrovic,Illinois Fighting Illini,Mihailo Petrovic,3,2.12,0.0,1.368,2.9
Michigan Wolverines - Charlie May,Michigan Wolverines,Charlie May,1,1.05,0.0,2.443,2.6
UConn Huskies - Alec Millender,UConn Huskies,Alec Millender,2,0.38,2.0,1.187,2.5
Arizona Wildcats - Addison Arnold,Arizona Wildcats,Addison Arnold,1,0.23,2.0,1.512,2.3
Tennessee Volunteers - Troy Henderson,Tennessee Volunteers,Troy Henderson,6,1.96,0.0,1.189,2.3
Pennsylvania Quakers - Augustus Gerhart,Pennsylvania Quakers,Augustus Gerhart,14,4.52,2.0,0.0,2.0
Nebraska Cornhuskers - Leo Curtis,Nebraska Cornhuskers,Leo Curtis,4,1.73,2.0,0.0,2.0
California Baptist Lancers - Devon Malcolm,California Baptist Lancers,Devon Malcolm,13,6.49,2.0,0.0,2.0
Pennsylvania Quakers - Alex Massung,Pennsylvania Quakers,Alex Massung,14,1.16,2.0,0.0,2.0
Santa Clara Broncos - Brenton Knapper,Santa Clara Broncos,Brenton Knapper,10,7.34,2.0,0.0,2.0
Wisconsin Badgers - Aleksas Bieliauskas,Wisconsin Badgers,Aleksas Bieliauskas,5,5.15,2.0,0.0,2.0
Tennessee State Tigers - Jabrion Spikes,Tennessee State Tigers,Jabrion Spikes,15,2.39,2.0,0.0,2.0
Prairie View A&M Panthers - Elijah Mitchell,Prairie View A&M Panthers,Elijah Mitchell,16,3.2,2.0,0.0,2.0
Idaho Vandals - Miles Klapper,Idaho Vandals,Miles Klapper,15,2.73,2.0,0.0,2.0
Iowa State Cyclones - Eric Mulder,Iowa State Cyclones,Eric Mulder,2,0.8,2.0,0.0,2.0
High Point Panthers - Vincent Brady II,High Point Panthers,Vincent Brady II,12,4.61,2.0,0.0,2.0
Wright State Raiders - Kellen Pickett,Wright State Raiders,Kellen Pickett,14,9.29,2.0,0.0,2.0
Troy Trojans - Austin Cross,Troy Trojans,Austin Cross,13,3.29,2.0,0.0,2.0
Missouri Tigers - Trent Burns,Missouri Tigers,Trent Burns,10,2.21,2.0,0.0,2.0
Long Island University Sharks - Malachi Davis,Long Island University Sharks,Malachi Davis,16,14.25,2.0,0.0,2.0
Georgia Bulldogs - Justin Abson,Georgia Bulldogs,Justin Abson,8,3.26,2.0,0.0,2.0
Florida Gators - Alex Lloyd,Florida Gators,Alex Lloyd,1,1.41,2.0,0.0,2.0
Clemson Tigers - Chase Thompson,Clemson Tigers,Chase Thompson,8,2.78,2.0,0.0,2.0
Pennsylvania Quakers - Jay Jones,Pennsylvania Quakers,Jay Jones,14,4.36,2.0,0.0,2.0
Florida Gators - Viktor Mikic,Florida Gators,Viktor Mikic,1,1.28,2.0,0.0,2.0
California Baptist Lancers - Jayden Jackson,California Baptist Lancers,Jayden Jackson,13,9.63,2.0,0.0,2.0
Arkansas Razorbacks - Isaiah Sealy,Arkansas Razorbacks,Isaiah Sealy,4,3.8,2.0,0.0,2.0
Northern Iowa Panthers - Ben Schwieger,Northern Iowa Panthers,Ben Schwieger,12,10.28,2.0,0.0,2.0
TCU Horned Frogs - Vianney Salatchoum,TCU Horned Frogs,Vianney Salatchoum,9,1.05,2.0,0.0,2.0
Texas Longhorns - Simeon Wilcher,Texas Longhorns,Simeon Wilcher,11,7.16,2.0,0.0,2.0
High Point Panthers - Conrad Martinez,High Point Panthers,Conrad Martinez,12,7.78,2.0,0.0,2.0
Kentucky Wildcats - Andrija Jelavic,Kentucky Wildcats,Andrija Jelavic,7,5.54,2.0,0.0,2.0
Florida Gators - Olivier Rioux,Florida Gators,Olivier Rioux,1,0.5,2.0,0.0,2.0
UCF Knights - John Bol,UCF Knights,John Bol,10,6.37,2.0,0.0,2.0
Texas Tech Red Raiders - Jazz Henderson,Texas Tech Red Raiders,Jazz Henderson,5,0.86,2.0,0.0,2.0
Texas A&M Aggies - Chris McDermott,Texas A&M Aggies,Chris McDermott,10,0.84,2.0,0.0,2.0
Howard Bison - BJ Powell,Howard Bison,BJ Powell,16,1.22,2.0,0.0,2.0
VCU Rams - Jordan Tillery,VCU Rams,Jordan Tillery,11,4.0,2.0,0.0,2.0
Kennesaw State Owls - Trey Simpson,Kennesaw State Owls,Trey Simpson,14,8.06,2.0,0.0,2.0
Miami (OH) RedHawks - Justin Kirby,Miami (OH) RedHawks,Justin Kirby,11,6.19,2.0,0.0,2.0
California Baptist Lancers - Thomas Ndong,California Baptist Lancers,Thomas Ndong,13,5.46,2.0,0.0,2.0
Hofstra Pride - Joshua DeCady,Hofstra Pride,Joshua DeCady,13,6.17,2.0,0.0,2.0
Iowa State Cyclones - Joshua Jefferson,Iowa State Cyclones,Joshua Jefferson,2,16.88,2.0,0.0,2.0
Illinois Fighting Illini - Jason Jakstys,Illinois Fighting Illini,Jason Jakstys,3,1.32,0.0,1.368,1.8
Duke Blue Devils - Ifeanyi Ufochukwu,Duke Blue Devils,Ifeanyi Ufochukwu,1,0.72,0.0,2.301,1.7
UConn Huskies - Dwayne Koroma,UConn Huskies,Dwayne Koroma,2,1.26,0.0,1.187,1.5
Michigan Wolverines - Howard Eisley Jr.,Michigan Wolverines,Howard Eisley Jr.,1,0.52,0.0,2.443,1.3
Duke Blue Devils - Cameron Sheffield,Duke Blue Devils,Cameron Sheffield,1,0.51,0.0,2.301,1.2
Arizona Wildcats - Evan Nelson,Arizona Wildcats,Evan Nelson,1,0.75,0.0,1.512,1.1
Duke Blue Devils - Jack Scott,Duke Blue Devils,Jack Scott,1,0.47,0.0,2.301,1.1
Texas Tech Red Raiders - Nolan Groves,Texas Tech Red Raiders,Nolan Groves,5,0.77,1.0,0.0,1.0
Houston Cougars - Ramon Walker Jr.,Houston Cougars,Ramon Walker Jr.,2,2.27,1.0,0.0,1.0
Tennessee State Tigers - JC Brooks,Tennessee State Tigers,JC Brooks,15,1.26,1.0,0.0,1.0
Wright State Raiders - Andrea Holden,Wright State Raiders,Andrea Holden,14,5.85,1.0,0.0,1.0
Arizona Wildcats - Sven Djopmo,Arizona Wildcats,Sven Djopmo,1,0.55,0.0,1.512,0.8
Arizona Wildcats - Jackson Francois,Arizona Wildcats,Jackson Francois,1,0.53,0.0,1.512,0.8
Tennessee Volunteers - Clarence Massamba,Tennessee Volunteers,Clarence Massamba,6,0.38,0.0,1.189,0.5
UConn Huskies - Jacob Furphy,UConn Huskies,Jacob Furphy,2,0.33,0.0,1.187,0.4
Illinois Fighting Illini - Blake Fagbemi,Illinois Fighting Illini,Blake Fagbemi,3,0.29,0.0,1.368,0.4
UConn Huskies - Uroš Paunovic,UConn Huskies,Uroš Paunovic,2,0.14,0.0,1.187,0.2
Howard Bison - Ed Holland III,Howard Bison,Ed Holland III,16,1.81,0.0,0.0,0.0
Lehigh Mountain Hawks - Alfredo Addesa,Lehigh Mountain Hawks,Alfredo Addesa,16,1.5,0.0,0.0,0.0
Nebraska Cornhuskers - Kendall Blue,Nebraska Cornhuskers,Kendall Blue,4,0.56,0.0,0.0,0.0
Ohio State Buckeyes - Mathieu Grujicic,Ohio State Buckeyes,Mathieu Grujicic,8,1.01,0.0,0.0,0.0
Santa Clara Broncos - Francis Chukwudebelu,Santa Clara Broncos,Francis Chukwudebelu,10,1.01,0.0,0.0,0.0
Ohio State Buckeyes - Colin White,Ohio State Buckeyes,Colin White,8,1.01,0.0,0.0,0.0
Arkansas Razorbacks - Ayden Kelley,Arkansas Razorbacks,Ayden Kelley,4,0.66,0.0,0.0,0.0
UMBC Retrievers - Tim Eze,UMBC Retrievers,Tim Eze,16,1.6,0.0,0.0,0.0
TCU Horned Frogs - Ashton Simmons,TCU Horned Frogs,Ashton Simmons,9,1.23,0.0,0.0,0.0
Arkansas Razorbacks - Jaden Karuletwa,Arkansas Razorbacks,Jaden Karuletwa,4,0.59,0.0,0.0,0.0
Houston Cougars - Cedric Lath,Houston Cougars,Cedric Lath,2,0.46,0.0,0.0,0.0
St. John's Red Storm - Handje Tamba,St. John's Red Storm,Handje Tamba,5,0.72,0.0,0.0,0.0
Clemson Tigers - Trent Steinour,Clemson Tigers,Trent Steinour,8,1.09,0.0,0.0,0.0
Arkansas Razorbacks - Elmir Džafić,Arkansas Razorbacks,Elmir Džafić,4,0.55,0.0,0.0,0.0
Texas A&M Aggies - Noah Shelby,Texas A&M Aggies,Noah Shelby,10,1.13,0.0,0.0,0.0
Long Island University Sharks - Tre'shawn Sheppard,Long Island University Sharks,Tre'shawn Sheppard,16,1.74,0.0,0.0,0.0
Long Island University Sharks - A.J. Neal Jr.,Long Island University Sharks,A.J. Neal Jr.,16,1.69,0.0,0.0,0.0
Vanderbilt Commodores - Tyler Harris,Vanderbilt Commodores,Tyler Harris,5,6.87,0.0,0.0,0.0
Georgia Bulldogs - Kanon Catchings,Georgia Bulldogs,Kanon Catchings,8,11.36,0.0,0.0,0.0
Hawai'i Rainbow Warriors - Hunter Carter,Hawai'i Rainbow Warriors,Hunter Carter,13,1.08,0.0,0.0,0.0
Kentucky Wildcats - Zach Tow,Kentucky Wildcats,Zach Tow,7,0.69,0.0,0.0,0.0
Texas Longhorns - Anthon McDermott,Texas Longhorns,Anthon McDermott,11,0.98,0.0,0.0,0.0
VCU Rams - Christian Fermin,VCU Rams,Christian Fermin,11,0.83,0.0,0.0,0.0
SMU Mustangs - Mitchell Holmes,SMU Mustangs,Mitchell Holmes,11,0.97,0.0,0.0,0.0
Siena Saints - Tajae Jones,Siena Saints,Tajae Jones,16,1.29,0.0,0.0,0.0
North Dakota State Bison - Riley Saunders,North Dakota State Bison,Riley Saunders,14,1.2,0.0,0.0,0.0
Lehigh Mountain Hawks - Jake Pike,Lehigh Mountain Hawks,Jake Pike,16,1.33,0.0,0.0,0.0
North Dakota State Bison - Riley Massey,North Dakota State Bison,Riley Massey,14,1.21,0.0,0.0,0.0
Texas A&M Aggies - Jeremiah Green,Texas A&M Aggies,Jeremiah Green,10,0.94,0.0,0.0,0.0
VCU Rams - Jordann Dumont,VCU Rams,Jordann Dumont,11,0.89,0.0,0.0,0.0
Arkansas Razorbacks - Karter Knox,Arkansas Razorbacks,Karter Knox,4,8.83,0.0,0.0,0.0
Idaho Vandals - Kristian Gonzalez,Idaho Vandals,Kristian Gonzalez,15,18.0,0.0,0.0,0.0
NC State Wolfpack - Quadir Copeland,NC State Wolfpack,Quadir Copeland,11,14.38,0.0,0.0,0.0
Troy Trojans - Evan Griffin,Troy Trojans,Evan Griffin,13,1.26,0.0,0.0,0.0
NC State Wolfpack - Scottie Ebube,NC State Wolfpack,Scottie Ebube,11,1.06,0.0,0.0,0.0
Howard Bison - Calvin Robins Jr.,Howard Bison,Calvin Robins Jr.,16,1.39,0.0,0.0,0.0
Hawai'i Rainbow Warriors - AJ Economou,Hawai'i Rainbow Warriors,AJ Economou,13,1.25,0.0,0.0,0.0
SMU Mustangs - B.J. Davis-Ray,SMU Mustangs,B.J. Davis-Ray,11,1.09,0.0,0.0,0.0
Pennsylvania Quakers - Michelangelo Oberti,Pennsylvania Quakers,Michelangelo Oberti,14,1.42,0.0,0.0,0.0
Michigan State Spartans - Nick Sanders,Michigan State Spartans,Nick Sanders,3,0.5,0.0,0.0,0.0
High Point Panthers - Babacar Diallo,High Point Panthers,Babacar Diallo,12,1.12,0.0,0.0,0.0
Saint Louis Billikens - Cam Hutson,Saint Louis Billikens,Cam Hutson,9,1.47,0.0,0.0,0.0
North Carolina Tar Heels - James Brown,North Carolina Tar Heels,James Brown,6,1.22,0.0,0.0,0.0
Wisconsin Badgers - Will Garlock,Wisconsin Badgers,Will Garlock,5,0.94,0.0,0.0,0.0
McNeese Cowboys - Yanis Ndjonga,McNeese Cowboys,Yanis Ndjonga,12,1.82,0.0,0.0,0.0
Saint Mary's Gaels - Cade Bennett,Saint Mary's Gaels,Cade Bennett,7,1.2,0.0,0.0,0.0
California Baptist Lancers - Monty Bowser,California Baptist Lancers,Monty Bowser,13,1.96,0.0,0.0,0.0
UMBC Retrievers - Paul Greene,UMBC Retrievers,Paul Greene,16,2.27,0.0,0.0,0.0
Villanova Wildcats - Wade Chiddick,Villanova Wildcats,Wade Chiddick,8,1.48,0.0,0.0,0.0
Akron Zips - Ognjen Stankovic,Akron Zips,Ognjen Stankovic,12,1.84,0.0,0.0,0.0
Gonzaga Bulldogs - Joaquim ArauzMoore,Gonzaga Bulldogs,Joaquim ArauzMoore,3,0.78,0.0,0.0,0.0
Villanova Wildcats - Braden Pierce,Villanova Wildcats,Braden Pierce,8,1.53,0.0,0.0,0.0
NC State Wolfpack - Darrion Williams,NC State Wolfpack,Darrion Williams,11,12.81,0.0,0.0,0.0
Iowa Hawkeyes - Joey Matteoni,Iowa Hawkeyes,Joey Matteoni,9,1.37,0.0,0.0,0.0
Hofstra Pride - A.J. Wills,Hofstra Pride,A.J. Wills,13,2.07,0.0,0.0,0.0
Alabama Crimson Tide - Collins Onyejiaka,Alabama Crimson Tide,Collins Onyejiaka,4,0.97,0.0,0.0,0.0
Wisconsin Badgers - Zach Kinziger,Wisconsin Badgers,Zach Kinziger,5,1.04,0.0,0.0,0.0
Hawai'i Rainbow Warriors - Jalen Myers,Hawai'i Rainbow Warriors,Jalen Myers,13,2.29,0.0,0.0,0.0
Howard Bison - Isaiah Brown,Howard Bison,Isaiah Brown,16,2.53,0.0,0.0,0.0
Miami Hurricanes - John Laboy II,Miami Hurricanes,John Laboy II,7,1.35,0.0,0.0,0.0
Pennsylvania Quakers - Ethan Roberts,Pennsylvania Quakers,Ethan Roberts,14,14.81,0.0,0.0,0.0
Gonzaga Bulldogs - Braeden Smith,Gonzaga Bulldogs,Braeden Smith,3,5.0,0.0,0.0,0.0
Miami (OH) RedHawks - Evan Ipsaro,Miami (OH) RedHawks,Evan Ipsaro,11,14.9,0.0,0.0,0.0
Clemson Tigers - Carter Welling,Clemson Tigers,Carter Welling,8,10.22,0.0,0.0,0.0
NC State Wolfpack - Musa Sagnia,NC State Wolfpack,Musa Sagnia,11,1.88,0.0,0.0,0.0
UCF Knights - Kris Parker,UCF Knights,Kris Parker,10,1.31,0.0,0.0,0.0
Texas A&M Aggies - Mackenzie Mgbako,Texas A&M Aggies,Mackenzie Mgbako,10,10.7,0.0,0.0,0.0
Lehigh Mountain Hawks - Hank Alvey,Lehigh Mountain Hawks,Hank Alvey,16,16.44,0.0,0.0,0.0
SMU Mustangs - Jaron Pierre Jr.,SMU Mustangs,Jaron Pierre Jr.,11,17.64,0.0,0.0,0.0
Saint Mary's Gaels - Andrew McKeever,Saint Mary's Gaels,Andrew McKeever,7,8.99,0.0,0.0,0.0
Miami (OH) RedHawks - Tyler Robbins,Miami (OH) RedHawks,Tyler Robbins,11,1.82,0.0,0.0,0.0
Vanderbilt Commodores - Jayden Leverett,Vanderbilt Commodores,Jayden Leverett,5,0.74,0.0,0.0,0.0
Louisville Cardinals - Spencer Legg,Louisville Cardinals,Spencer Legg,6,0.83,0.0,0.0,0.0
Georgia Bulldogs - Brandon Klatsky,Georgia Bulldogs,Brandon Klatsky,8,1.15,0.0,0.0,0.0
Virginia Cavaliers - Martin Carrere,Virginia Cavaliers,Martin Carrere,3,0.69,0.0,0.0,0.0
High Point Panthers - Caden Miller,High Point Panthers,Caden Miller,12,1.61,0.0,0.0,0.0
Miami Hurricanes - Salih Altuntas,Miami Hurricanes,Salih Altuntas,7,1.16,0.0,0.0,0.0
Texas Longhorns - Declan Duru Jr.,Texas Longhorns,Declan Duru Jr.,11,1.52,0.0,0.0,0.0
Wisconsin Badgers - Isaac Gard,Wisconsin Badgers,Isaac Gard,5,0.83,0.0,0.0,0.0
California Baptist Lancers - Jalen Dollar,California Baptist Lancers,Jalen Dollar,13,1.78,0.0,0.0,0.0
BYU Cougars - Abdullah Ahmed,BYU Cougars,Abdullah Ahmed,6,1.05,0.0,0.0,0.0
Akron Zips - Marvin Musiime-Kamali,Akron Zips,Marvin Musiime-Kamali,12,1.62,0.0,0.0,0.0
Alabama Crimson Tide - Charles Bediako,Alabama Crimson Tide,Charles Bediako,4,9.86,0.0,0.0,0.0
SMU Mustangs - Boopie Miller,SMU Mustangs,Boopie Miller,11,19.04,0.0,0.0,0.0
Prairie View A&M Panthers - Jannoy Thomas,Prairie View A&M Panthers,Jannoy Thomas,16,2.1,0.0,0.0,0.0
Villanova Wildcats - Zion Stanford,Villanova Wildcats,Zion Stanford,8,1.34,0.0,0.0,0.0
Pennsylvania Quakers - Dylan Williams,Pennsylvania Quakers,Dylan Williams,14,2.05,0.0,0.0,0.0
Wright State Raiders - Sam Alamutu,Wright State Raiders,Sam Alamutu,14,2.0,0.0,0.0,0.0
Wisconsin Badgers - Jack Robison,Wisconsin Badgers,Jack Robison,5,0.92,0.0,0.0,0.0
UCF Knights - Elijah Hulsewe,UCF Knights,Elijah Hulsewe,10,1.34,0.0,0.0,0.0
Siena Saints - Cooper Nadler,Siena Saints,Cooper Nadler,16,0.0,0.0,0.0,0.0
Purdue Boilermakers - Jack Lusk,Purdue Boilermakers,Jack Lusk,2,0.0,0.0,0.0,0.0
Purdue Boilermakers - Jace Rayl,Purdue Boilermakers,Jace Rayl,2,0.0,0.0,0.0,0.0
Ohio State Buckeyes - Braylen Nash,Ohio State Buckeyes,Braylen Nash,8,0.0,0.0,0.0,0.0
Queens University Royals - Tyler Crider,Queens University Royals,Tyler Crider,15,0.0,0.0,0.0,0.0
NC State Wolfpack - Colt Langdon,NC State Wolfpack,Colt Langdon,11,0.3,0.0,0.0,0.0
Howard Bison - River Smith,Howard Bison,River Smith,16,0.41,0.0,0.0,0.0
Nebraska Cornhuskers - Justin Bolis,Nebraska Cornhuskers,Justin Bolis,4,0.16,0.0,0.0,0.0
Northern Iowa Panthers - Hunter Jacobson,Northern Iowa Panthers,Hunter Jacobson,12,0.35,0.0,0.0,0.0
Arkansas Razorbacks - Amere Brown,Arkansas Razorbacks,Amere Brown,4,0.16,0.0,0.0,0.0
SMU Mustangs - Chance Puryear,SMU Mustangs,Chance Puryear,11,0.33,0.0,0.0,0.0
Vanderbilt Commodores - Miles Keeffe,Vanderbilt Commodores,Miles Keeffe,5,0.46,0.0,0.0,0.0
Howard Bison - Stefan Isailovic,Howard Bison,Stefan Isailovic,16,0.47,0.0,0.0,0.0
Louisville Cardinals - Will Hanke,Louisville Cardinals,Will Hanke,6,0.22,0.0,0.0,0.0
Tennessee State Tigers - Alex Garcia,Tennessee State Tigers,Alex Garcia,15,0.51,0.0,0.0,0.0
Siena Saints - Marcus Jackson,Siena Saints,Marcus Jackson,16,0.52,0.0,0.0,0.0
Saint Louis Billikens - Jaden Schertz,Saint Louis Billikens,Jaden Schertz,9,0.36,0.0,0.0,0.0
Prairie View A&M Panthers - Ryan Bolton Jr.,Prairie View A&M Panthers,Ryan Bolton Jr.,16,0.55,0.0,0.0,0.0
UCLA Bruins - Jack Seidler,UCLA Bruins,Jack Seidler,7,0.28,0.0,0.0,0.0
North Dakota State Bison - Max Majerle,North Dakota State Bison,Max Majerle,14,0.53,0.0,0.0,0.0
Miami Hurricanes - Jordyn Kee,Miami Hurricanes,Jordyn Kee,7,0.31,0.0,0.0,0.0
Iowa Hawkeyes - Jacob Koch,Iowa Hawkeyes,Jacob Koch,9,0.35,0.0,0.0,0.0
UMBC Retrievers - Jake Stout,UMBC Retrievers,Jake Stout,16,0.64,0.0,0.0,0.0
Utah State Aggies - Jordy Barnes,Utah State Aggies,Jordy Barnes,9,0.39,0.0,0.0,0.0
McNeese Cowboys - JJ Rembert,McNeese Cowboys,JJ Rembert,12,0.37,0.0,0.0,0.0
Houston Cougars - Jacob McFarland,Houston Cougars,Jacob McFarland,2,0.0,0.0,0.0,0.0
South Florida Bulls - Onyx Nnani,South Florida Bulls,Onyx Nnani,11,0.0,0.0,0.0,0.0
TCU Horned Frogs - Drew McElroy,TCU Horned Frogs,Drew McElroy,9,0.0,0.0,0.0,0.0
SMU Mustangs - Niccolo Kalischer-Stork,SMU Mustangs,Niccolo Kalischer-Stork,11,0.0,0.0,0.0,0.0
Siena Saints - Mosi Clayton,Siena Saints,Mosi Clayton,16,0.0,0.0,0.0,0.0
Siena Saints - Danny Murray,Siena Saints,Danny Murray,16,0.0,0.0,0.0,0.0
Lehigh Mountain Hawks - Brendan Reed,Lehigh Mountain Hawks,Brendan Reed,16,0.0,0.0,0.0,0.0
Furman Paladins - Thomas Tillman,Furman Paladins,Thomas Tillman,15,0.0,0.0,0.0,0.0
Vanderbilt Commodores - Coleson Messer,Vanderbilt Commodores,Coleson Messer,5,0.0,0.0,0.0,0.0
Villanova Wildcats - Malcolm Flaggs,Villanova Wildcats,Malcolm Flaggs,8,0.0,0.0,0.0,0.0
Miami (OH) RedHawks - Eli Yofan,Miami (OH) RedHawks,Eli Yofan,11,0.0,0.0,0.0,0.0
Georgia Bulldogs - Markel Jennings,Georgia Bulldogs,Markel Jennings,8,0.0,0.0,0.0,0.0
Pennsylvania Quakers - William Kruse,Pennsylvania Quakers,William Kruse,14,0.0,0.0,0.0,0.0
Kennesaw State Owls - Charles Stone,Kennesaw State Owls,Charles Stone,14,0.0,0.0,0.0,0.0
Alabama Crimson Tide - Jack Fagan,Alabama Crimson Tide,Jack Fagan,4,0.0,0.0,0.0,0.0
Wright State Raiders - Ayden Davis,Wright State Raiders,Ayden Davis,14,0.0,0.0,0.0,0.0
Tennessee Volunteers - Grant Hurst,Tennessee Volunteers,Grant Hurst,6,0.0,0.0,1.189,0.0
UCF Knights - Zach Johnson,UCF Knights,Zach Johnson,10,0.0,0.0,0.0,0.0
TCU Horned Frogs - Malick Diallo,TCU Horned Frogs,Malick Diallo,9,0.0,0.0,0.0,0.0
TCU Horned Frogs - Trey Stuart,TCU Horned Frogs,Trey Stuart,9,0.0,0.0,0.0,0.0
BYU Cougars - Jared McGregor,BYU Cougars,Jared McGregor,6,0.0,0.0,0.0,0.0
SMU Mustangs - Nigel Walls,SMU Mustangs,Nigel Walls,11,0.0,0.0,0.0,0.0
SMU Mustangs - Trey Utter,SMU Mustangs,Trey Utter,11,0.0,0.0,0.0,0.0
Kansas Jayhawks - Will Thengvall,Kansas Jayhawks,Will Thengvall,4,0.0,0.0,0.0,0.0
Pennsylvania Quakers - Payton Kamin,Pennsylvania Quakers,Payton Kamin,14,0.0,0.0,0.0,0.0
Alabama Crimson Tide - Klark James,Alabama Crimson Tide,Klark James,4,0.0,0.0,0.0,0.0
Kentucky Wildcats - Walker Horn,Kentucky Wildcats,Walker Horn,7,0.49,0.0,0.0,0.0
Texas Longhorns - Brandon Taylor,Texas Longhorns,Brandon Taylor,11,0.72,0.0,0.0,0.0
Gonzaga Bulldogs - Cade Orness,Gonzaga Bulldogs,Cade Orness,3,0.3,0.0,0.0,0.0
North Carolina Tar Heels - Elijah Davis,North Carolina Tar Heels,Elijah Davis,6,0.51,0.0,0.0,0.0
Idaho Vandals - Aidan Sevilla,Idaho Vandals,Aidan Sevilla,15,0.9,0.0,0.0,0.0
Miami (OH) RedHawks - Kyle Waltz,Miami (OH) RedHawks,Kyle Waltz,11,0.91,0.0,0.0,0.0
BYU Cougars - Xavion Staton,BYU Cougars,Xavion Staton,6,0.49,0.0,0.0,0.0
Prairie View A&M Panthers - Seryee Lewis,Prairie View A&M Panthers,Seryee Lewis,16,0.97,0.0,0.0,0.0
St. John's Red Storm - Fotis Konstantinidis,St. John's Red Storm,Fotis Konstantinidis,5,0.4,0.0,0.0,0.0
Tennessee State Tigers - Jean Yvens Lafleur,Tennessee State Tigers,Jean Yvens Lafleur,15,0.97,0.0,0.0,0.0
North Carolina Tar Heels - Ivan Matlekovic,North Carolina Tar Heels,Ivan Matlekovic,6,0.55,0.0,0.0,0.0
UCLA Bruins - Anthony Peoples Jr.,UCLA Bruins,Anthony Peoples Jr.,7,0.32,0.0,0.0,0.0
Northern Iowa Panthers - Geon Hutchins,Northern Iowa Panthers,Geon Hutchins,12,0.81,0.0,0.0,0.0
Vanderbilt Commodores - Mason Nicholson,Vanderbilt Commodores,Mason Nicholson,5,0.4,0.0,0.0,0.0
Furman Paladins - Owen Ritger,Furman Paladins,Owen Ritger,15,1.01,0.0,0.0,0.0
Howard Bison - Julian Johnson,Howard Bison,Julian Johnson,16,1.06,0.0,0.0,0.0
Miami (OH) RedHawks - Ethan Wright,Miami (OH) RedHawks,Ethan Wright,11,1.03,0.0,0.0,0.0
Alabama Crimson Tide - Jacob Martin,Alabama Crimson Tide,Jacob Martin,4,0.43,0.0,0.0,0.0
