team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Troy Trojans - Corbin Green,Troy Trojans,Corbin Green,13,1.02,0.0,0.0,0.0
Virginia Cavaliers - Carter Lang,Virginia Cavaliers,Carter Lang,3,0.4,0.0,0.0,0.0
Missouri Tigers - Nicholas Randall,Missouri Tigers,Nicholas Randall,10,0.78,0.0,0.0,0.0
SMU Mustangs - B.J. Edwards,SMU Mustangs,B.J. Edwards,11,11.84,0.0,0.0,0.0
NC State Wolfpack - Paul McNeil Jr.,NC State Wolfpack,Paul McNeil Jr.,11,14.52,0.0,0.0,0.0
Nebraska Cornhuskers - Ugnius Jarusevicius,Nebraska Cornhuskers,Ugnius Jarusevicius,4,7.0,0.0,0.0,0.0
Michigan State Spartans - Brennan Walton,Michigan State Spartans,Brennan Walton,3,0.34,0.0,0.0,0.0
Miami (OH) RedHawks - Jackson Kotecki,Miami (OH) RedHawks,Jackson Kotecki,11,0.62,0.0,0.0,0.0
Saint Louis Billikens - Isaac Holmes,Saint Louis Billikens,Isaac Holmes,9,0.43,0.0,0.0,0.0
Michigan State Spartans - Colin Walton,Michigan State Spartans,Colin Walton,3,0.22,0.0,0.0,0.0
NC State Wolfpack - Ven-Allen Lubin,NC State Wolfpack,Ven-Allen Lubin,11,14.76,0.0,0.0,0.0
Vanderbilt Commodores - Frankie Collins,Vanderbilt Commodores,Frankie Collins,5,7.74,0.0,0.0,0.0
Kennesaw State Owls - Simeon Cottle,Kennesaw State Owls,Simeon Cottle,14,20.13,0.0,0.0,0.0
Lehigh Mountain Hawks - Nasir Whitlock,Lehigh Mountain Hawks,Nasir Whitlock,16,21.51,0.0,0.0,0.0
Hofstra Pride - Alex Tsynkevich,Hofstra Pride,Alex Tsynkevich,13,0.57,0.0,0.0,0.0
Long Island University Sharks - Xinyi Li,Long Island University Sharks,Xinyi Li,16,0.68,0.0,0.0,0.0
St. John's Red Storm - Casper Pohto,St. John's Red Storm,Casper Pohto,5,0.28,0.0,0.0,0.0
UCF Knights - Poohpha Warakulnukroh,UCF Knights,Poohpha Warakulnukroh,10,0.48,0.0,0.0,0.0
Kennesaw State Owls - Eric Holland,Kennesaw State Owls,Eric Holland,14,0.68,0.0,0.0,0.0
Troy Trojans - Javen Colbert,Troy Trojans,Javen Colbert,13,0.81,0.0,0.0,0.0
High Point Panthers - Youssouf Singare,High Point Panthers,Youssouf Singare,12,0.62,0.0,0.0,0.0
Miami (OH) RedHawks - Brady Ganley,Miami (OH) RedHawks,Brady Ganley,11,0.71,0.0,0.0,0.0
Texas Longhorns - Cole Bott,Texas Longhorns,Cole Bott,11,0.59,0.0,0.0,0.0
UMBC Retrievers - Saahil Thakkar,UMBC Retrievers,Saahil Thakkar,16,0.77,0.0,0.0,0.0
Iowa State Cyclones - Anthony Rise,Iowa State Cyclones,Anthony Rise,2,0.22,0.0,0.0,0.0
TCU Horned Frogs - Adam Stewart,TCU Horned Frogs,Adam Stewart,9,0.55,0.0,0.0,0.0
Alabama Crimson Tide - Preston Murphy Jr.,Alabama Crimson Tide,Preston Murphy Jr.,4,0.32,0.0,0.0,0.0
Kansas Jayhawks - Samis Calderon,Kansas Jayhawks,Samis Calderon,4,0.33,0.0,0.0,0.0
NC State Wolfpack - Jordan Snell,NC State Wolfpack,Jordan Snell,11,0.65,0.0,0.0,0.0
Howard Bison - Jeremiah Johnson,Howard Bison,Jeremiah Johnson,16,0.85,0.0,0.0,0.0
Virginia Cavaliers - Owen Odom,Virginia Cavaliers,Owen Odom,3,0.31,0.0,0.0,0.0
Long Island University Sharks - Max Ndlovu-Fraser,Long Island University Sharks,Max Ndlovu-Fraser,16,0.87,0.0,0.0,0.0
Akron Zips - Conner Groce,Akron Zips,Conner Groce,12,0.58,0.0,0.0,0.0
Wright State Raiders - Logan Woods,Wright State Raiders,Logan Woods,14,5.23,0.0,0.0,0.0
UCLA Bruins - Eric Freeny,UCLA Bruins,Eric Freeny,7,2.79,0.0,0.0,0.0
SMU Mustangs - Jermaine O'Neal Jr.,SMU Mustangs,Jermaine O'Neal Jr.,11,4.26,0.0,0.0,0.0
Santa Clara Broncos - Thierry Darlan,Santa Clara Broncos,Thierry Darlan,10,6.09,0.0,0.0,0.0
Miami Hurricanes - Marcus Allen,Miami Hurricanes,Marcus Allen,7,5.13,0.0,0.0,0.0
UCF Knights - Chris Johnson,UCF Knights,Chris Johnson,10,6.69,0.0,0.0,0.0
Alabama Crimson Tide - Davion Hannah,Alabama Crimson Tide,Davion Hannah,4,3.63,0.0,0.0,0.0
Troy Trojans - Jerrell Bellamy,Troy Trojans,Jerrell Bellamy,13,8.55,0.0,0.0,0.0
Alabama Crimson Tide - Keitenn Bristow,Alabama Crimson Tide,Keitenn Bristow,4,3.69,0.0,0.0,0.0
Missouri Tigers - Jevon Porter,Missouri Tigers,Jevon Porter,10,5.92,0.0,0.0,0.0
Kennesaw State Owls - Jaden Harris,Kennesaw State Owls,Jaden Harris,14,8.41,0.0,0.0,0.0
Gonzaga Bulldogs - Ismaila Diagne,Gonzaga Bulldogs,Ismaila Diagne,3,0.83,0.0,0.0,0.0
Alabama Crimson Tide - Aden Holloway,Alabama Crimson Tide,Aden Holloway,4,17.23,0.0,0.0,0.0
Kentucky Wildcats - Jayden Quaintance,Kentucky Wildcats,Jayden Quaintance,7,5.05,0.0,0.0,0.0
Nebraska Cornhuskers - Jared Garcia,Nebraska Cornhuskers,Jared Garcia,4,3.35,0.0,0.0,0.0
Iowa Hawkeyes - Trevin Jirak,Iowa Hawkeyes,Trevin Jirak,9,3.23,0.0,0.0,0.0
Iowa Hawkeyes - Brendan Hausen,Iowa Hawkeyes,Brendan Hausen,9,3.26,0.0,0.0,0.0
Lehigh Mountain Hawks - Andrew Urosevic,Lehigh Mountain Hawks,Andrew Urosevic,16,5.84,0.0,0.0,0.0
South Florida Bulls - Daimion Collins,South Florida Bulls,Daimion Collins,11,4.27,0.0,0.0,0.0
UMBC Retrievers - Jose Roberto Tanchyn,UMBC Retrievers,Jose Roberto Tanchyn,16,5.87,0.0,0.0,0.0
Prairie View A&M Panthers - Marcel Bryant,Prairie View A&M Panthers,Marcel Bryant,16,5.94,0.0,0.0,0.0
Missouri Tigers - Luke Northweather,Missouri Tigers,Luke Northweather,10,4.1,0.0,0.0,0.0
Kansas Jayhawks - Jamari McDowell,Kansas Jayhawks,Jamari McDowell,4,3.22,0.0,0.0,0.0
UMBC Retrievers - Josh Odunowo,UMBC Retrievers,Josh Odunowo,16,8.26,0.0,0.0,0.0
Louisville Cardinals - Mikel Brown Jr.,Louisville Cardinals,Mikel Brown Jr.,6,18.46,0.0,0.0,0.0
High Point Panthers - Scotty Washington,High Point Panthers,Scotty Washington,12,8.74,0.0,0.0,0.0
SMU Mustangs - Jaden Toombs,SMU Mustangs,Jaden Toombs,11,8.0,0.0,0.0,0.0
NC State Wolfpack - Tre Holloman,NC State Wolfpack,Tre Holloman,11,8.32,0.0,0.0,0.0
South Florida Bulls - Adriel Nyorha,South Florida Bulls,Adriel Nyorha,11,3.73,0.0,0.0,0.0
Idaho Vandals - Seth Joba,Idaho Vandals,Seth Joba,15,4.98,0.0,0.0,0.0
Texas Longhorns - Lassina Traore,Texas Longhorns,Lassina Traore,11,4.04,0.0,0.0,0.0
Tennessee State Tigers - Khalil London,Tennessee State Tigers,Khalil London,15,5.11,0.0,0.0,0.0
Missouri Tigers - Annor Boateng,Missouri Tigers,Annor Boateng,10,3.59,0.0,0.0,0.0
North Carolina Tar Heels - Kyan Evans,North Carolina Tar Heels,Kyan Evans,6,2.92,0.0,0.0,0.0
Hawai'i Rainbow Warriors - Aaron Hunkin-Claytor,Hawai'i Rainbow Warriors,Aaron Hunkin-Claytor,13,4.79,0.0,0.0,0.0
Villanova Wildcats - Chris Jeffrey,Villanova Wildcats,Chris Jeffrey,8,3.38,0.0,0.0,0.0
VCU Rams - Ahmad Nowell,VCU Rams,Ahmad Nowell,11,3.7,0.0,0.0,0.0
Florida Gators - Cooper Josefsberg,Florida Gators,Cooper Josefsberg,1,1.45,0.0,0.0,0.0
Kennesaw State Owls - Darius Washington III,Kennesaw State Owls,Darius Washington III,14,5.26,0.0,0.0,0.0
NC State Wolfpack - Terrance Arceneaux,NC State Wolfpack,Terrance Arceneaux,11,4.23,0.0,0.0,0.0
Lehigh Mountain Hawks - Edouard Benoit,Lehigh Mountain Hawks,Edouard Benoit,16,9.98,0.0,0.0,0.0
Siena Saints - Tasman Goodrick,Siena Saints,Tasman Goodrick,16,9.91,0.0,0.0,0.0
UMBC Retrievers - Caden Diggs,UMBC Retrievers,Caden Diggs,16,9.99,0.0,0.0,0.0
UCLA Bruins - Tyler Bilodeau,UCLA Bruins,Tyler Bilodeau,7,17.05,0.0,0.0,0.0
BYU Cougars - Richie Saunders,BYU Cougars,Richie Saunders,6,17.99,0.0,0.0,0.0
North Carolina Tar Heels - Caleb Wilson,North Carolina Tar Heels,Caleb Wilson,6,19.9,0.0,0.0,0.0
Saint Mary's Gaels - Rory Hawke,Saint Mary's Gaels,Rory Hawke,7,2.93,0.0,0.0,0.0
UMBC Retrievers - Daylon Dickerson,UMBC Retrievers,Daylon Dickerson,16,5.54,0.0,0.0,0.0
Utah State Aggies - Tucker Anderson,Utah State Aggies,Tucker Anderson,9,3.42,0.0,0.0,0.0
Tennessee State Tigers - Carlous Williams,Tennessee State Tigers,Carlous Williams,15,5.28,0.0,0.0,0.0
High Point Panthers - Birgir Irving,High Point Panthers,Birgir Irving,12,0.14,0.0,0.0,0.0
Troy Trojans - Emmanuel Clarton,Troy Trojans,Emmanuel Clarton,13,0.17,0.0,0.0,0.0
Lehigh Mountain Hawks - Henri Adiassa,Lehigh Mountain Hawks,Henri Adiassa,16,0.18,0.0,0.0,0.0
Howard Bison - Shane Frazier,Howard Bison,Shane Frazier,16,0.19,0.0,0.0,0.0
Troy Trojans - Hikaru Awata,Troy Trojans,Hikaru Awata,13,0.19,0.0,0.0,0.0
Queens University Royals - Reid Celestin,Queens University Royals,Reid Celestin,15,0.21,0.0,0.0,0.0
Georgia Bulldogs - Jaden Newell,Georgia Bulldogs,Jaden Newell,8,0.17,0.0,0.0,0.0
Northern Iowa Panthers - Chase Courbat,Northern Iowa Panthers,Chase Courbat,12,0.22,0.0,0.0,0.0
Siena Saints - Chris Torres,Siena Saints,Chris Torres,16,0.3,0.0,0.0,0.0
North Dakota State Bison - Caleb Schoenrock,North Dakota State Bison,Caleb Schoenrock,14,0.3,0.0,0.0,0.0
North Carolina Tar Heels - John Holbrook,North Carolina Tar Heels,John Holbrook,6,0.19,0.0,0.0,0.0
Prairie View A&M Panthers - Joey Madimba,Prairie View A&M Panthers,Joey Madimba,16,8.27,0.0,0.0,0.0
Hofstra Pride - Amir Williams,Hofstra Pride,Amir Williams,13,0.0,0.0,0.0,0.0
Idaho Vandals - Ewan Steele,Idaho Vandals,Ewan Steele,15,0.34,0.0,0.0,0.0
Wisconsin Badgers - Riccardo Greppi,Wisconsin Badgers,Riccardo Greppi,5,0.0,0.0,0.0,0.0
UCLA Bruins - Christian Horry,UCLA Bruins,Christian Horry,7,0.0,0.0,0.0,0.0
Kennesaw State Owls - Dozie Onyirimba,Kennesaw State Owls,Dozie Onyirimba,14,0.0,0.0,0.0,0.0
Kennesaw State Owls - Davin Cosby Jr.,Kennesaw State Owls,Davin Cosby Jr.,14,0.0,0.0,0.0,0.0
Texas Tech Red Raiders - Jack Francis,Texas Tech Red Raiders,Jack Francis,5,0.0,0.0,0.0,0.0
Tennessee Volunteers - Campbell Duncan,Tennessee Volunteers,Campbell Duncan,6,0.0,0.0,1.189,0.0
Tennessee Volunteers - Gavin Paull,Tennessee Volunteers,Gavin Paull,6,0.0,0.0,1.189,0.0
Tennessee State Tigers - Jayden Jones,Tennessee State Tigers,Jayden Jones,15,0.0,0.0,0.0,0.0
Virginia Cavaliers - Desmond Roberts,Virginia Cavaliers,Desmond Roberts,3,0.0,0.0,0.0,0.0
Arizona Wildcats - Jackson Cook,Arizona Wildcats,Jackson Cook,1,0.0,0.0,1.512,0.0
Akron Zips - Rich Brisco,Akron Zips,Rich Brisco,12,0.0,0.0,0.0,0.0
Kennesaw State Owls - Ramone Seals,Kennesaw State Owls,Ramone Seals,14,8.06,0.0,0.0,0.0
Ohio State Buckeyes - Taison Chatman,Ohio State Buckeyes,Taison Chatman,8,4.81,0.0,0.0,0.0
California Baptist Lancers - Jordan Muller,California Baptist Lancers,Jordan Muller,13,5.34,0.0,0.0,0.0
Furman Paladins - Eddrin Bronson,Furman Paladins,Eddrin Bronson,15,6.01,0.0,0.0,0.0
BYU Cougars - Mihailo Bošković,BYU Cougars,Mihailo Bošković,6,3.21,0.0,0.0,0.0
Texas Tech Red Raiders - JT Toppin,Texas Tech Red Raiders,JT Toppin,5,22.48,0.0,0.0,0.0
Gonzaga Bulldogs - Braden Huff,Gonzaga Bulldogs,Braden Huff,3,17.36,0.0,0.0,0.0
NC State Wolfpack - Alyn Breed,NC State Wolfpack,Alyn Breed,11,4.87,0.0,0.0,0.0
Miami Hurricanes - Timotej Malovec,Miami Hurricanes,Timotej Malovec,7,3.38,0.0,0.0,0.0
Kentucky Wildcats - Trent Noah,Kentucky Wildcats,Trent Noah,7,3.67,0.0,0.0,0.0
Clemson Tigers - Jake Wahlin,Clemson Tigers,Jake Wahlin,8,4.74,0.0,0.0,0.0
Siena Saints - Antonio Chandler,Siena Saints,Antonio Chandler,16,7.45,0.0,0.0,0.0
Lehigh Mountain Hawks - Tommy Conniff,Lehigh Mountain Hawks,Tommy Conniff,16,0.15,0.0,0.0,0.0
NC State Wolfpack - Jerry Deng,NC State Wolfpack,Jerry Deng,11,6.09,0.0,0.0,0.0
Gonzaga Bulldogs - Noah Haaland,Gonzaga Bulldogs,Noah Haaland,3,2.14,0.0,0.0,0.0
McNeese Cowboys - Jerrell Colbert,McNeese Cowboys,Jerrell Colbert,12,5.48,0.0,0.0,0.0
Texas Tech Red Raiders - Tyeree Bryan,Texas Tech Red Raiders,Tyeree Bryan,5,2.89,0.0,0.0,0.0
Hofstra Pride - Silas Sunday,Hofstra Pride,Silas Sunday,13,5.79,0.0,0.0,0.0
Saint Mary's Gaels - Harry Wessels,Saint Mary's Gaels,Harry Wessels,7,3.91,0.0,0.0,0.0
Saint Mary's Gaels - Oliver Faubert,Saint Mary's Gaels,Oliver Faubert,7,0.0,0.0,0.0,0.0
High Point Panthers - David Fonville,High Point Panthers,David Fonville,12,0.0,0.0,0.0,0.0
Kansas Jayhawks - Justin Cross,Kansas Jayhawks,Justin Cross,4,0.0,0.0,0.0,0.0
Troy Trojans - Kameryn Mitchell,Troy Trojans,Kameryn Mitchell,13,0.0,0.0,0.0,0.0
Arkansas Razorbacks - Elmir Džafic,Arkansas Razorbacks,Elmir Džafic,4,0.0,0.0,0.0,0.0
Prairie View A&M Panthers - Isaiah Foster,Prairie View A&M Panthers,Isaiah Foster,16,0.0,0.0,0.0,0.0
Santa Clara Broncos - KJ Cochran,Santa Clara Broncos,KJ Cochran,10,4.85,0.0,0.0,0.0
Nebraska Cornhuskers - Connor Essegian,Nebraska Cornhuskers,Connor Essegian,4,5.41,0.0,0.0,0.0
SMU Mustangs - Corey Washington,SMU Mustangs,Corey Washington,11,10.97,0.0,0.0,0.0
BYU Cougars - Dawson Baker,BYU Cougars,Dawson Baker,6,7.56,0.0,0.0,0.0
Wright State Raiders - Bryan Etumnu,Wright State Raiders,Bryan Etumnu,14,2.98,0.0,0.0,0.0
McNeese Cowboys - Peitok Machar,McNeese Cowboys,Peitok Machar,12,2.61,0.0,0.0,0.0
Iowa State Cyclones - Xzavion Mitchell,Iowa State Cyclones,Xzavion Mitchell,2,0.91,0.0,0.0,0.0
SMU Mustangs - Sam Walters,SMU Mustangs,Sam Walters,11,2.45,0.0,0.0,0.0
Wisconsin Badgers - Hayden Jones,Wisconsin Badgers,Hayden Jones,5,1.39,0.0,0.0,0.0
Saint Louis Billikens - Jax Kerr,Saint Louis Billikens,Jax Kerr,9,2.2,0.0,0.0,0.0
South Florida Bulls - Devin Haid,South Florida Bulls,Devin Haid,11,2.42,0.0,0.0,0.0
UMBC Retrievers - Cougar Downing,UMBC Retrievers,Cougar Downing,16,3.35,0.0,0.0,0.0
Akron Zips - Bowen Hardman,Akron Zips,Bowen Hardman,12,8.19,0.0,0.0,0.0
BYU Cougars - Tyler Mrus,BYU Cougars,Tyler Mrus,6,1.74,0.0,0.0,0.0
Vanderbilt Commodores - Mike James,Vanderbilt Commodores,Mike James,5,1.33,0.0,0.0,0.0
Michigan State Spartans - Divine Ugochukwu,Michigan State Spartans,Divine Ugochukwu,3,4.64,0.0,0.0,0.0
UMBC Retrievers - Jah'Likai King,UMBC Retrievers,Jah'Likai King,16,13.82,0.0,0.0,0.0
SMU Mustangs - Samet Yigitoglu,SMU Mustangs,Samet Yigitoglu,11,10.55,0.0,0.0,0.0
UMBC Retrievers - DJ Armstrong Jr.,UMBC Retrievers,DJ Armstrong Jr.,16,14.07,0.0,0.0,0.0
Missouri Tigers - Jacob Crews,Missouri Tigers,Jacob Crews,10,9.74,0.0,0.0,0.0
Villanova Wildcats - Matt Hodge,Villanova Wildcats,Matt Hodge,8,9.07,0.0,0.0,0.0
Northern Iowa Panthers - Ismael Diouf,Northern Iowa Panthers,Ismael Diouf,12,2.72,0.0,0.0,0.0
St. John's Red Storm - Kelvin Odih,St. John's Red Storm,Kelvin Odih,5,1.42,0.0,0.0,0.0
South Florida Bulls - Xavier Brown,South Florida Bulls,Xavier Brown,11,2.58,0.0,0.0,0.0
Hofstra Pride - Jaeden Roberts,Hofstra Pride,Jaeden Roberts,13,3.03,0.0,0.0,0.0
Long Island University Sharks - Faheim Meran,Long Island University Sharks,Faheim Meran,16,3.35,0.0,0.0,0.0
Georgia Bulldogs - Somtochukwu Cyril,Georgia Bulldogs,Somtochukwu Cyril,8,9.5,0.0,0.0,0.0
Kansas Jayhawks - Nginyu Ngala,Kansas Jayhawks,Nginyu Ngala,4,1.02,0.0,0.0,0.0
UConn Huskies - Rrezon Elezaj,UConn Huskies,Rrezon Elezaj,2,0.0,0.0,1.187,0.0
Iowa State Cyclones - Cade Kelderman,Iowa State Cyclones,Cade Kelderman,2,0.72,0.0,0.0,0.0
California Baptist Lancers - Nate Garcia,California Baptist Lancers,Nate Garcia,13,2.25,0.0,0.0,0.0
North Carolina Tar Heels - Evan Smith,North Carolina Tar Heels,Evan Smith,6,1.44,0.0,0.0,0.0
Akron Zips - Zach Halligan,Akron Zips,Zach Halligan,12,2.04,0.0,0.0,0.0
Utah State Aggies - Luke Kearney,Utah State Aggies,Luke Kearney,9,1.6,0.0,0.0,0.0
High Point Panthers - Josh Ibukunoluwa,High Point Panthers,Josh Ibukunoluwa,12,2.22,0.0,0.0,0.0
Siena Saints - Owen Schlager,Siena Saints,Owen Schlager,16,2.69,0.0,0.0,0.0
Louisville Cardinals - Cole Sherman,Louisville Cardinals,Cole Sherman,6,1.18,0.0,0.0,0.0
South Florida Bulls - Tristan Beckford,South Florida Bulls,Tristan Beckford,11,1.98,0.0,0.0,0.0
Saint Mary's Gaels - Kevin Gad,Saint Mary's Gaels,Kevin Gad,7,1.71,0.0,0.0,0.0
Texas Tech Red Raiders - Marial Akuentok,Texas Tech Red Raiders,Marial Akuentok,5,1.16,0.0,0.0,0.0
Kennesaw State Owls - Perry Smith Jr.,Kennesaw State Owls,Perry Smith Jr.,14,2.74,0.0,0.0,0.0
Wright State Raiders - Alex Bruskotter,Wright State Raiders,Alex Bruskotter,14,2.68,0.0,0.0,0.0
Kansas Jayhawks - Wilder Evers,Kansas Jayhawks,Wilder Evers,4,1.16,0.0,0.0,0.0
North Carolina Tar Heels - Jaydon Young,North Carolina Tar Heels,Jaydon Young,6,1.6,0.0,0.0,0.0
Howard Bison - Danas Kazakevicius,Howard Bison,Danas Kazakevicius,16,2.91,0.0,0.0,0.0
North Dakota State Bison - Carson Smith,North Dakota State Bison,Carson Smith,14,2.66,0.0,0.0,0.0
California Baptist Lancers - Rene D'Amelio,California Baptist Lancers,Rene D'Amelio,13,2.53,0.0,0.0,0.0
Santa Clara Broncos - Brendan Yarusso,Santa Clara Broncos,Brendan Yarusso,10,1.91,0.0,0.0,0.0
Tennessee State Tigers - Kavien Jones,Tennessee State Tigers,Kavien Jones,15,3.0,0.0,0.0,0.0
Siena Saints - Isaiah Henderson,Siena Saints,Isaiah Henderson,16,3.03,0.0,0.0,0.0
North Carolina Tar Heels - Isaiah Denis,North Carolina Tar Heels,Isaiah Denis,6,1.69,0.0,0.0,0.0
Vanderbilt Commodores - Jaylon Dean-Vines,Vanderbilt Commodores,Jaylon Dean-Vines,5,1.05,0.0,0.0,0.0
BYU Cougars - Mihailo Boškovic,BYU Cougars,Mihailo Boškovic,6,2.16,0.0,0.0,0.0
BYU Cougars - Aleksej Kostić,BYU Cougars,Aleksej Kostić,6,2.19,0.0,0.0,0.0
Ohio State Buckeyes - Ivan Njegovan,Ohio State Buckeyes,Ivan Njegovan,8,2.44,0.0,0.0,0.0
Hawai'i Rainbow Warriors - Yacine Toumi,Hawai'i Rainbow Warriors,Yacine Toumi,13,3.93,0.0,0.0,0.0
St. John's Red Storm - Sadiku Ibine Ayo,St. John's Red Storm,Sadiku Ibine Ayo,5,1.8,0.0,0.0,0.0
Louisville Cardinals - Kasean Pryor,Louisville Cardinals,Kasean Pryor,6,1.94,0.0,0.0,0.0
Virginia Cavaliers - Elijah Gertrude,Virginia Cavaliers,Elijah Gertrude,3,1.62,0.0,0.0,0.0
Villanova Wildcats - Tafara Gapare,Villanova Wildcats,Tafara Gapare,8,2.92,0.0,0.0,0.0
Furman Paladins - Asa Thomas,Furman Paladins,Asa Thomas,15,11.31,0.0,0.0,0.0
Missouri Tigers - T.O. Barrett,Missouri Tigers,T.O. Barrett,10,8.09,0.0,0.0,0.0
Gonzaga Bulldogs - Steele Venters,Gonzaga Bulldogs,Steele Venters,3,3.89,0.0,0.0,0.0
Lehigh Mountain Hawks - Peter Kramer,Lehigh Mountain Hawks,Peter Kramer,16,3.62,0.0,0.0,0.0
NC State Wolfpack - Matt Able,NC State Wolfpack,Matt Able,11,9.05,0.0,0.0,0.0
Missouri Tigers - Sebastian Mack,Missouri Tigers,Sebastian Mack,10,8.03,0.0,0.0,0.0
Houston Cougars - Kordel Jefferson,Houston Cougars,Kordel Jefferson,2,1.33,0.0,0.0,0.0
Kansas Jayhawks - Jayden Dawson,Kansas Jayhawks,Jayden Dawson,4,1.91,0.0,0.0,0.0
Prairie View A&M Panthers - Keeshawn Mason,Prairie View A&M Panthers,Keeshawn Mason,16,4.79,0.0,0.0,0.0
TCU Horned Frogs - Kayden Edwards,TCU Horned Frogs,Kayden Edwards,9,3.34,0.0,0.0,0.0
Lehigh Mountain Hawks - Caleb Thomas,Lehigh Mountain Hawks,Caleb Thomas,16,4.87,0.0,0.0,0.0
Saint Mary's Gaels - Tony Duckett,Saint Mary's Gaels,Tony Duckett,7,2.66,0.0,0.0,0.0
Wisconsin Badgers - Jack Janicki,Wisconsin Badgers,Jack Janicki,5,2.13,0.0,0.0,0.0
Clemson Tigers - Zac Foster,Clemson Tigers,Zac Foster,8,7.1,0.0,0.0,0.0
Prairie View A&M Panthers - Doug Young,Prairie View A&M Panthers,Doug Young,16,11.03,0.0,0.0,0.0
Houston Cougars - Isiah Harwell,Houston Cougars,Isiah Harwell,2,2.91,0.0,0.0,0.0
Lehigh Mountain Hawks - Joshua Ingram,Lehigh Mountain Hawks,Joshua Ingram,16,11.36,0.0,0.0,0.0
Siena Saints - Christian Jones,Siena Saints,Christian Jones,16,3.58,0.0,0.0,0.0
Furman Paladins - Abijah Franklin,Furman Paladins,Abijah Franklin,15,3.6,0.0,0.0,0.0
Furman Paladins - Mason Smith,Furman Paladins,Mason Smith,15,3.65,0.0,0.0,0.0
Northern Iowa Panthers - RJ Taylor,Northern Iowa Panthers,RJ Taylor,12,3.02,0.0,0.0,0.0
Long Island University Sharks - Isaiah Miranda,Long Island University Sharks,Isaiah Miranda,16,3.81,0.0,0.0,0.0
UCF Knights - Jeremy Foumena,UCF Knights,Jeremy Foumena,10,2.67,0.0,0.0,0.0
BYU Cougars - Dominique Diomande,BYU Cougars,Dominique Diomande,6,1.98,0.0,0.0,0.0
Alabama Crimson Tide - Jalil Bethea,Alabama Crimson Tide,Jalil Bethea,4,5.43,0.0,0.0,0.0
Texas A&M Aggies - Federiko Federiko,Texas A&M Aggies,Federiko Federiko,10,2.61,0.0,0.0,0.0
McNeese Cowboys - Carl Cherenfant,McNeese Cowboys,Carl Cherenfant,12,3.25,0.0,0.0,0.0
UMBC Retrievers - Riley Jacobs,UMBC Retrievers,Riley Jacobs,16,4.05,0.0,0.0,0.0
Akron Zips - Chabi Barre,Akron Zips,Chabi Barre,12,3.19,0.0,0.0,0.0
Purdue Boilermakers - Aaron Fine,Purdue Boilermakers,Aaron Fine,2,1.2,0.0,0.0,0.0
Northern Iowa Panthers - Kyle Pock,Northern Iowa Panthers,Kyle Pock,12,3.23,0.0,0.0,0.0
BYU Cougars - Khadim Mboup,BYU Cougars,Khadim Mboup,6,2.09,0.0,0.0,0.0
Ohio State Buckeyes - Puff Johnson,Ohio State Buckeyes,Puff Johnson,8,2.3,0.0,0.0,0.0
Furman Paladins - Collin O'Neal,Furman Paladins,Collin O'Neal,15,3.94,0.0,0.0,0.0
South Florida Bulls - Caleb Sanders,South Florida Bulls,Caleb Sanders,11,3.01,0.0,0.0,0.0
Lehigh Mountain Hawks - Jalen Vazquez,Lehigh Mountain Hawks,Jalen Vazquez,16,4.14,0.0,0.0,0.0
Saint Mary's Gaels - Mantas Juzenas,Saint Mary's Gaels,Mantas Juzenas,7,2.21,0.0,0.0,0.0
VCU Rams - Keyshawn Mitchell,VCU Rams,Keyshawn Mitchell,11,2.74,0.0,0.0,0.0
UMBC Retrievers - Devin Ceaser,UMBC Retrievers,Devin Ceaser,16,4.17,0.0,0.0,0.0
UMBC Retrievers - Ace Valentine,UMBC Retrievers,Ace Valentine,16,12.41,0.0,0.0,0.0
Kentucky Wildcats - Jaland Lowe,Kentucky Wildcats,Jaland Lowe,7,7.43,0.0,0.0,0.0
Ohio State Buckeyes - Brandon Noel,Ohio State Buckeyes,Brandon Noel,8,7.44,0.0,0.0,0.0
TCU Horned Frogs - RJ Jones,TCU Horned Frogs,RJ Jones,9,2.81,0.0,0.0,0.0
